NAME,GEOID,totpop_16,totpop_17,totpop_18,totpopdens_16,totpopdens_17,totpopdens_18,Area_km2
"Census Tract 7205.02, Villalba ",72149720502,252,214,200,27,23,21,9.47533944
"Census Tract 7205.03, Villalba ",72149720503,302,305,300,27,27,27,11.30944894
"Census Tract 7205.04, Villalba ",72149720504,270,246,250,23,21,21,11.74063541
"Census Tract 9506, Yabucoa ",72151950600,230,197,200,9,7,8,26.37832216
"Census Tract 9507, Yabucoa ",72151950700,156,142,150,4,3,4,41.63192565
"Census Tract 9508, Yabucoa ",72151950800,251,218,200,28,24,22,9.05576218
"Census Tract 9509, Yabucoa ",72151950900,327,297,300,13,12,12,25.33939594
"Census Tract 9510, Yabucoa ",72151951000,204,191,150,190,177,139,1.07609717
"Census Tract 9511, Yabucoa ",72151951100,246,231,250,188,177,192,1.30511271
"Census Tract 9512, Yabucoa ",72151951200,243,211,200,20,17,16,12.43645572
"Census Tract 9513, Yabucoa ",72151951300,309,286,250,12,11,9,26.55134988
"Census Tract 7501.01, Yauco ",72153750101,150,138,150,3,3,3,52.09359507
