NAME,GEOID,totpop_16,totpop_17,totpop_18
"Census Tract 716.01, Ponce Municipio, Puerto Rico",72113071601,202,175,150
"Census Tract 716.02, Ponce Municipio, Puerto Rico",72113071602,247,217,200
"Census Tract 717, Ponce Municipio, Puerto Rico",72113071700,164,148,150
"Census Tract 718, Ponce Municipio, Puerto Rico",72113071800,139,132,150
"Census Tract 719, Ponce Municipio, Puerto Rico",72113071900,336,310,300
"Census Tract 720, Ponce Municipio, Puerto Rico",72113072000,267,261,250
"Census Tract 721.01, Ponce Municipio, Puerto Rico",72113072101,209,187,200
"Census Tract 721.02, Ponce Municipio, Puerto Rico",72113072102,204,191,200
"Census Tract 722.01, Ponce Municipio, Puerto Rico",72113072201,275,278,300
"Census Tract 722.02, Ponce Municipio, Puerto Rico",72113072202,361,349,300
"Census Tract 723, Ponce Municipio, Puerto Rico",72113072300,152,142,150
"Census Tract 724, Ponce Municipio, Puerto Rico",72113072400,241,222,200
"Census Tract 725, Ponce Municipio, Puerto Rico",72113072500,274,247,250
"Census Tract 726, Ponce Municipio, Puerto Rico",72113072600,227,186,200
"Census Tract 727.01, Ponce Municipio, Puerto Rico",72113072701,298,294,250
"Census Tract 727.03, Ponce Municipio, Puerto Rico",72113072703,344,327,300
